0,displayPrice,label,name,rating,合住房間,整個房源,獨立房間,飯店房間
,2449.0,1.0,"新宿商圈徒步，1室一厅，山手线直达涩谷原宿,6人最大入住，免费随身WIFI#4 FCN-4",4.58,0.0,1.0,0.0,0.0
,576.0,0.0,M1▶︎交通アクセス抜群のホステル！男性限定◀︎小川町／淡路町／新御茶ノ水／御茶ノ水／秋葉原／神田,4.48,0.0,0.0,0.0,1.0
,1024.0,0.0,Private room/heart of Tokyo/Ikebykuro 5mins/203,4.86,0.0,0.0,0.0,1.0
,1556.0,2.0,10min to Narita Station - 12min to Narita Airport,4.57,0.0,0.0,1.0,0.0
,605.0,0.0,2F13【仅限女性】地处上野 距车站步行5分钟！！提供免费WIFI 背包客大欢迎,4.25,0.0,0.0,0.0,1.0
,1037.0,0.0,My apartment is comfortable Located a 4-minute wal,4.65,0.0,0.0,0.0,1.0
,576.0,2.0,Secretbase@Best location ASAKUSA near Sta FreeWIFI,4.78,1.0,0.0,0.0,0.0
,1152.0,2.0,♪欢迎长期住宿♪最多可容纳3名★免费WIFI★,4.17,0.0,0.0,1.0,0.0
,1887.0,2.0,江戸町家の宿　両国庵301,4.45,0.0,0.0,1.0,0.0
,1527.0,1.0,☆开业折扣☆乘坐电车5分钟到达新宿，从东中野车站步行1分钟，新装建筑101,0.0,0.0,1.0,0.0,0.0
,692.0,0.0,10. 时尚舒适的旅馆，以满足世界各地的客人。(混合宿舍),4.68,0.0,0.0,0.0,1.0
,1441.0,1.0,FF192 10min walk to Shinjuku sta/P-WiFi/3pax!,4.46,0.0,1.0,0.0,0.0
,871.0,2.0,銀座，築地和歌舞伎座都很近！ Wi-Fi免費★男士,4.55,1.0,0.0,0.0,0.0
,1729.0,1.0,102 Shinjuku on foot! FreePocketWifi! 新宿/渋谷 西新宿5丁目,4.14,0.0,1.0,0.0,0.0
,4034.0,1.0,月租公寓＃3室1廳好房#車站徒步4分新宿好位置!原宿涉谷上野多個地方直達#免費Wifi#8人,4.53,0.0,1.0,0.0,0.0
,310.0,2.0,New open! Happy House A-2☆Shinjuku☆3 min station☆,3.63,1.0,0.0,0.0,0.0
,1729.0,1.0,SL801/4分钟上野/ 2间卧室/最多8人/ 40％折扣！,4.71,0.0,1.0,0.0,0.0
,1124.0,2.0,步行7分钟到中野新桥站 美食美酒美宿都不可辜负daia03,4.27,0.0,0.0,1.0,0.0
,1239.0,0.0,"SHIMOKITA HOSTEL Do Shibuya3min, Shinjuku8min",4.69,0.0,0.0,0.0,1.0
,3169.0,1.0,"浅草,秋叶原电车2分钟，车站5分钟，3层民居92㎡",0.0,0.0,1.0,0.0,0.0
,570.0,2.0,Oak Hostel Cabin　Capsule Room for Female,4.8,1.0,0.0,0.0,0.0
,692.0,0.0,15. 1条线直达天空树，浅草，秋叶原，原宿，涩谷，上野，银座，新宿等地(混合宿舍),4.66,0.0,0.0,0.0,1.0
,1297.0,1.0,距车站步行6分钟&天空树！！免费WIFI/最大可住3人，设施齐全/302,4.2,0.0,1.0,0.0,0.0
,1729.0,0.0,103全新温馨独立房间，步行5分钟到秋叶原上野。免费Wi-Fi。附近大量餐厅购物出行方便,5.0,0.0,0.0,0.0,1.0
,2219.0,0.0,"NEW OPEN! Asakusa Hotel, Sensoji 15min walk! Max3",4.25,0.0,0.0,0.0,1.0
,1383.0,1.0,Private apt/Ginza/direct to airport/1 min to stat.,0.0,0.0,1.0,0.0,0.0
,576.0,2.0,Secretbase@CentralTokyoAsakusa 4mins Sta. FreeWIFI,4.7,1.0,0.0,0.0,0.0
,2017.0,1.0,[已经得到允许的公寓]从车站步行4分钟/最多可住 3人/方便快捷到达新宿＃103,4.36,0.0,1.0,0.0,0.0
,576.0,0.0,【男士專用】Grandouce蒲田☆2018年新建/羽田機場交通便利/洗漱用品＃208,4.6,0.0,0.0,0.0,1.0
,1066.0,2.0,大塚駅から2分の徒歩範囲内、シングルベッドの個室。,4.0,1.0,0.0,0.0,0.0
,605.0,0.0,5F20【仅限女性•临近浴室】地处上野 距车站步行5分钟！！提供免费WIFI 背包客大欢迎!,5.0,0.0,0.0,0.0,1.0
,432.0,2.0,Mix Dormitory with shared shower and toilet,4.78,1.0,0.0,0.0,0.0
,2028.0,1.0,Shinjuku10min by train new apartment Max 5 ppl 303,4.62,0.0,1.0,0.0,0.0
,5762.0,1.0,KOTOWASO 2,4.85,0.0,1.0,0.0,0.0
,1152.0,1.0,34★COZY ROOM CENTRAL TOKYO.JR IKEBUKURO 5 MIN WALK,4.0,0.0,1.0,0.0,0.0
,951.0,1.0,靠近中野新桥站 经济型/背包客/说走就走 daib05,4.0,0.0,1.0,0.0,0.0
,605.0,0.0,4F3【仅限男性】地处上野 距车站步行5分钟！！提供免费WIFI 背包客大欢迎,5.0,0.0,0.0,0.0,1.0
,1441.0,1.0,Central of TOKYO!! Close to train Sta 5-1h,4.92,0.0,1.0,0.0,0.0
,619.0,0.0,[Planetyze hostel] 10人男女混合宿舍房,4.56,0.0,0.0,0.0,1.0
,1441.0,2.0,Secretbase@BestlocationAsakusa near Sta. FreeWIFI,4.71,0.0,0.0,1.0,0.0
,1735.0,1.0,IR302车站步行2分钟 直达东京/新宿/银座/六本木/上野/秋叶原/涉谷,4.6,0.0,1.0,0.0,0.0
,2549.0,0.0,SPECIALRATE-MANGA HOTEL[Double] 4Stations・Locker,5.0,0.0,0.0,0.0,1.0
,2178.0,1.0,有人家神田旅館，1站路到東京站 KD302,4.44,0.0,1.0,0.0,0.0
,2881.0,1.0,▼新开业▼ 步行5分钟即可到达歌舞伎町♪交通便利/ 11人住宿/无线网络/ 3 A,4.67,0.0,1.0,0.0,0.0
,2708.0,1.0,A1+【TOKYO SHITAMACHI】IRIYA /2 DBL BED for 4 /WIFI,4.87,0.0,1.0,0.0,0.0
,1307.0,1.0,【NEW】靠近池袋，2LDK，Wifi，【中文】【日本語】OK!!!,5.0,0.0,1.0,0.0,0.0
,5762.0,1.0,JR四谷4分鐘|新宿| 最多12人|免費WIFI | Oval Tokyo Yotsuya|601,4.72,0.0,1.0,0.0,0.0
,1729.0,1.0,SL701/4分钟上野/ 2间卧室/最多8人/ 40％折扣！,4.5,0.0,1.0,0.0,0.0
,864.0,0.0,Free pickup!Narita Airport・Station・Hot spring☆B&B,4.86,0.0,0.0,0.0,1.0
,1383.0,0.0,20. 可以直达两个机场，旅程开始时的舒适空间。(混合宿舍),4.6,0.0,0.0,0.0,1.0
,2017.0,1.0,最新公开！【位于六本木的居家小屋】*配有家庭影院,5.0,0.0,1.0,0.0,0.0
,2017.0,1.0,最新公开！【位于六本木的居家小屋】*配有家庭影院,5.0,0.0,1.0,0.0,0.0
,2017.0,1.0,A101【NEW OPEN】2 min to Shinjuku Sta.by train !,5.0,0.0,1.0,0.0,0.0
,1441.0,1.0,LK701 【浅草附近】步行7分钟车站/5人/免费网络/浅草，秋叶原，两国直达。,5.0,0.0,1.0,0.0,0.0
,2327.0,1.0,NEW OPEN SALE！Room201：带和风茶室、眺望sky tree绝景,4.86,0.0,1.0,0.0,0.0
,2100.0,1.0,有人家神田旅館，1站路到東京站 KD402,4.0,0.0,1.0,0.0,0.0
,1152.0,1.0,47★GOOD ACCESS IKEBUKURO/SHINJUKU/SHIBUYA/UENO/etc,4.0,0.0,1.0,0.0,0.0
,2593.0,1.0,【6名様まで宿泊可能】成田空港から京成線直通♦︎洗濯機キッチン完備のレジデンスホテル,5.0,0.0,1.0,0.0,0.0
,1297.0,2.0,Easy access to Narita Airport&Near the station!,4.96,0.0,0.0,1.0,0.0
,1152.0,1.0,兩國國技館相撲巡禮/錦糸町/wifi/4人/自行車2台,4.81,0.0,1.0,0.0,0.0
,1311.0,1.0,"#201Kinshi-cho(City permits)Near Sky Tree,Asakusa",4.6,0.0,1.0,0.0,0.0
,2305.0,0.0,Shinjuku 15mins! 10ppl! great night view!!,4.68,0.0,0.0,0.0,1.0
,1613.0,1.0,上野下谷商圈清新公寓4F/新宿-上野-银座可直达/免费WIFI #3-FJP-22,0.0,0.0,1.0,0.0,0.0
,519.0,0.0,lady's  dorm tokyo Asakusa 1 min to 24/7 market,5.0,0.0,0.0,0.0,1.0
,2541.0,1.0,東京·金秋九月2F【全新】豪華大空間35㎡套間，徒歩至「銀座/築地」，提供固定&口袋WI-FI！,4.82,0.0,1.0,0.0,0.0
,864.0,0.0,両国站2分★秋葉原站3分★浅草，晴空塔徒步可★９,4.46,0.0,0.0,0.0,1.0
,1585.0,1.0,KEY HOTEL Akiba 401,4.58,0.0,1.0,0.0,0.0
,1297.0,0.0,SKY Hostels 両国 301号室(セミダブルベッド),4.35,0.0,0.0,0.0,1.0
,2305.0,0.0,"0清潔費!繁華而不喧嘩的商業區位置、新裝半價折扣!湯島車站僅2分,步行上野站禦徒町站上野公園7分!",4.47,0.0,0.0,0.0,1.0
,2593.0,1.0,Airport pick-up service&Asakusa New house No3,4.98,0.0,1.0,0.0,0.0
,2593.0,1.0,"有人家小岩2號公寓502, 徒步1分鐘到車站，到浅草14分鐘，直达成田機場",5.0,0.0,1.0,0.0,0.0
,1556.0,1.0,+8 Cozy home hotel[ 淺草的緣酒店]淺草上野地區，入住2-3人，免費網絡，高級衛浴,4.33,0.0,1.0,0.0,0.0
,1441.0,1.0,FF304 10min walk to Shinjuku sta/P-WiFi/3pax!,4.6,0.0,1.0,0.0,0.0
,2593.0,1.0,*2  Moonoka hotel[ 莫诺卡酒店]銀座築地步行，可入住5人，免費網絡高級衛浴,0.0,0.0,1.0,0.0,0.0
,576.0,2.0,OPENING CAMPAIGN！ Mixed　Dormitory in Asakusabashi,4.67,1.0,0.0,0.0,0.0
,1930.0,1.0,Perfect location! All new and private !!,4.82,0.0,1.0,0.0,0.0
,1729.0,1.0,地处下北泽！1分钟徒步到车站！最大可住3人 免费WIFI 交通便捷#103,4.36,0.0,1.0,0.0,0.0
,934.0,2.0,【hiii】練色★10分鐘步行到淺草寺★直達天空樹線淺草站/雷門·晴空塔·上野·秋葉原-NRT010,4.44,0.0,0.0,1.0,0.0
,1729.0,1.0,US52山手线舒适小屋。新宿，涉谷，秋叶原，原宿，上野直达。便利店，饮食店满载,4.76,0.0,1.0,0.0,0.0
,1815.0,1.0,【中層階確約】成田空港から京成線直通♦︎洗濯機キッチン完備のレジデンスホテル,3.0,0.0,1.0,0.0,0.0
,2881.0,1.0,步行1分钟到森下站M4！,4.5,0.0,1.0,0.0,0.0
,570.0,2.0,田端＠3二楼男性层★JR田端和西日暮徒歩7分★池袋电车8分新宿电车15分★单人小隔间,4.0,0.0,0.0,1.0,0.0
,2593.0,1.0,*3  Moonoka hotel[ 莫诺卡酒店]銀座築地步行，可入住5人，免費網絡高級衛浴,0.0,0.0,1.0,0.0,0.0
,2017.0,1.0,@11 hotel shu[ 秀酒店新宿御苑]人氣新宿地區，入住2人，免費網絡，高級衛浴,4.67,0.0,1.0,0.0,0.0
,1700.0,1.0,Btype◇3LDK◇Tokyo Disney Resort・Makuhari Messe,4.65,0.0,1.0,0.0,0.0
,1729.0,1.0,距晴空塔最近的房子!車站只需1分/離淺草只有2站3分!前往機場和迪士尼皆有巴士直達!,4.67,0.0,1.0,0.0,0.0
,1549.0,1.0,10min Shinjuku Area / Harajuku and Shibuya near!#1,4.4,0.0,1.0,0.0,0.0
,1495.0,1.0,Japanese Style TATAMI room in Shinjuku / Free WiFi,4.33,0.0,1.0,0.0,0.0
,720.0,0.0,"迷你日本 ,十分男女混合房, 東京",4.94,0.0,0.0,0.0,1.0
,2541.0,1.0,東京·初夏限時折扣·徒歩至「銀座/築地」，35㎡超大豪華套間4F，獨立衛浴，免費WIFI&寄存行李！,4.85,0.0,1.0,0.0,0.0
,784.0,1.0,LK401 Disney land/Ginza/Tukiji/Shibuya/Asakusa,5.0,0.0,1.0,0.0,0.0
,1441.0,1.0,Central of TOKYO!! Close to train Sta 6-1h,4.81,0.0,1.0,0.0,0.0
,1729.0,2.0,"Asakusa, Ueno area, affordable♪Free wi-fi. 2F",4.47,0.0,0.0,1.0,0.0
,2305.0,1.0,EXTRAORDINARY STAY at UENO!! WITH BALCONY!!,0.0,0.0,1.0,0.0,0.0
,5762.0,1.0,100m2 house/3BR/quiet str./near shinjyuku sta.,4.81,0.0,1.0,0.0,0.0
,2593.0,1.0,65平方米 最多可入住6人！ 現代日式風格套房 到淺草寺只需步行3分鐘,4.83,0.0,1.0,0.0,0.0
,2449.0,1.0,7 MINS Sta Spacious and comfortable apartment ppx4,4.36,0.0,1.0,0.0,0.0
,2132.0,2.0,江戸町家の宿　両国庵101,4.49,0.0,0.0,1.0,0.0
,720.0,0.0,"迷你日本 ,六人女性宿舍 ,東京",4.67,0.0,0.0,0.0,1.0
,1556.0,1.0,*9 Cozy home hotel[ 淺草的緣酒店]淺草上野地區，入住2-3人，免費網絡高級衛浴,4.63,0.0,1.0,0.0,0.0
,778.0,2.0,（限女性）田地客房,4.78,1.0,0.0,0.0,0.0
,2737.0,1.0,205・405 山手线JR大塚站徒步2分钟超近！去池袋电车2分钟！,4.67,0.0,1.0,0.0,0.0
,2852.0,1.0,新中野站步行6分钟！ 在新宿，歌舞伎町，中野和新大久保附近！ 最多可入住8人·免费无线上网HM11,4.6,0.0,1.0,0.0,0.0
,1729.0,1.0,上野浅草商业圈 山手线西日暮里站6分钟 成田羽田机场40分钟 精致酒店客房 交通餐饮购物便利,0.0,0.0,1.0,0.0,0.0
,576.0,0.0,"1 bed use in a shared mix dormitory, obi Hostel",4.77,0.0,0.0,0.0,1.0
,692.0,0.0,18. 位于中央区日本桥，交通方便！ 到日比谷线，半藏门线，新宿线车站步行8分钟以内(混合宿舍),4.58,0.0,0.0,0.0,1.0
,2420.0,0.0,全新/淺草6分鐘/機場直達/6人可住/獨立衛浴&洗面台/WiFi,4.83,0.0,0.0,0.0,1.0
,1729.0,1.0,Newly Built APT Near SKYTREE Free Pocket WiFi2-1,4.66,0.0,1.0,0.0,0.0
,1556.0,1.0,"JR Line, NEW Cozy APT surrounded by temple 1F",0.0,0.0,1.0,0.0,0.0
,2305.0,1.0,大陽台！位置很棒！新宿！安靜！ Max5pp！,4.5,0.0,1.0,0.0,0.0
,801.0,2.0,Cute  room / Tokyo Narita Makuhari Messe Disney.,4.75,0.0,0.0,1.0,0.0
,3457.0,1.0,JR四谷4分鐘|新宿| 最多8人|免費WIFI | Oval Tokyo Yotsuya 301,4.32,0.0,1.0,0.0,0.0
